title,year,role,name
Naughty Marietta (film),1935,director,W. S. Van Dyke
David Copperfield (1935 film),1935,star,Lionel Barrymore
David Copperfield (1935 film),1935,star,Edna May Oliver
David Copperfield (1935 film),1935,star,Lewis Stone
David Copperfield (1935 film),1935,star,Roland Young
David Copperfield (1935 film),1935,cast,Basil Rathbone
David Copperfield (1935 film),1935,cast,Elsa Lanchester
David Copperfield (1935 film),1935,director,George Cukor
Ruggles of Red Gap,1935,star,Charles Laughton
Ruggles of Red Gap,1935,cast,Roland Young
Ruggles of Red Gap,1935,director,Leo McCarey
Top Hat,1935,star,Fred Astaire
Top Hat,1935,star,Ginger Rogers
Anthony Adverse,1936,star,Fredric March
Anthony Adverse,1936,star,Olivia de Havilland
Anthony Adverse,1936,star,Gale Sondergaard
Anthony Adverse,1936,cast,Edmund Gwenn
Anthony Adverse,1936,cast,Claude Rains
Anthony Adverse,1936,cast,Akim Tamiroff
Anthony Adverse,1936,director,Mervyn LeRoy
Mr. Deeds Goes to Town,1936,star,Gary Cooper
Mr. Deeds Goes to Town,1936,star,Jean Arthur
Mr. Deeds Goes to Town,1936,cast,H. B. Warner
Mr. Deeds Goes to Town,1936,director,Frank Capra
The Story of Louis Pasteur,1936,star,Paul Muni
The Story of Louis Pasteur,1936,cast,Akim Tamiroff
The Story of Louis Pasteur,1936,director,William Dieterle
A Tale of Two Cities (1935 film),1935,star,Ronald Colman
A Tale of Two Cities (1935 film),1935,cast,Edna May Oliver
A Tale of Two Cities (1935 film),1935,cast,Basil Rathbone
A Tale of Two Cities (1935 film),1935,cast,H. B. Warner
Three Smart Girls,1936,star,Ray Milland
Three Smart Girls,1936,cast,Alice Brady
Three Smart Girls,1936,cast,Mischa Auer
Three Smart Girls,1936,cast,Lucile Watson
Three Smart Girls,1936,director,Henry Koster
Dead End (1937 film),1937,star,Sylvia Sidney
Dead End (1937 film),1937,star,Humphrey Bogart
Dead End (1937 film),1937,star,Claire Trevor
Dead End (1937 film),1937,cast,Marjorie Main
Dead End (1937 film),1937,director,William Wyler
In Old Chicago,1938,star,Don Ameche
In Old Chicago,1938,star,Alice Brady
In Old Chicago,1938,cast,Brian Donlevy
Lost Horizon (1937 film),1937,star,Ronald Colman
Lost Horizon (1937 film),1937,cast,H. B. Warner
Lost Horizon (1937 film),1937,cast,Sam Jaffe
Lost Horizon (1937 film),1937,director,Frank Capra
One Hundred Men and a Girl,1937,cast,Adolphe Menjou
One Hundred Men and a Girl,1937,cast,Alice Brady
One Hundred Men and a Girl,1937,cast,Mischa Auer
One Hundred Men and a Girl,1937,director,Henry Koster
Stage Door,1937,star,Katharine Hepburn
Stage Door,1937,star,Ginger Rogers
Stage Door,1937,star,Adolphe Menjou
Stage Door,1937,cast,Eve Arden
Stage Door,1937,director,Gregory La Cava
All About My Mother,1999,star,Penélope Cruz
All About My Mother,1999,director,Pedro Almodóvar
Sunrise: A Song of Two Humans,1927,star,Janet Gaynor
The Adventures of Robin Hood,1938,star,Olivia de Havilland
The Adventures of Robin Hood,1938,star,Basil Rathbone
The Adventures of Robin Hood,1938,star,Claude Rains
The Adventures of Robin Hood,1938,cast,Sam Jaffe
The Adventures of Robin Hood,1938,director,Michael Curtiz
Four Daughters,1938,cast,John Garfield
Four Daughters,1938,cast,May Robson
Four Daughters,1938,cast,Claude Rains
Four Daughters,1938,director,Michael Curtiz
La Grande Illusion,1937,star,Erich von Stroheim
La Grande Illusion,1937,director,Jean Renoir
Test Pilot (film),1938,star,Clark Gable
Test Pilot (film),1938,star,Spencer Tracy
Test Pilot (film),1938,cast,Lionel Barrymore
Test Pilot (film),1938,cast,Marjorie Main
Test Pilot (film),1938,director,Victor Fleming
Dark Victory,1939,star,Bette Davis
Dark Victory,1939,star,Geraldine Fitzgerald
Dark Victory,1939,star,Humphrey Bogart
Dark Victory,1939,star,Henry Travers
Love Affair (1939 film),1939,star,Irene Dunne
Love Affair (1939 film),1939,star,Charles Boyer
Love Affair (1939 film),1939,star,Maria Ouspenskaya
Love Affair (1939 film),1939,director,Leo McCarey
Mr. Smith Goes to Washington,1939,star,Jean Arthur
Mr. Smith Goes to Washington,1939,star,James Stewart
Mr. Smith Goes to Washington,1939,cast,Claude Rains
Mr. Smith Goes to Washington,1939,cast,Beulah Bondi
Mr. Smith Goes to Washington,1939,cast,H. B. Warner
Mr. Smith Goes to Washington,1939,cast,William Demarest
Mr. Smith Goes to Washington,1939,director,Frank Capra
Ninotchka,1939,star,Greta Garbo
Ninotchka,1939,star,Melvyn Douglas
Ninotchka,1939,director,Ernst Lubitsch
Of Mice and Men (1939 film),1939,star,Burgess Meredith
Of Mice and Men (1939 film),1939,star,Charles Bickford
Of Mice and Men (1939 film),1939,director,Lewis Milestone
Stagecoach (1939 film),1939,star,Claire Trevor
Stagecoach (1939 film),1939,star,John Wayne
Stagecoach (1939 film),1939,director,John Ford
Alice in Wonderland (1933 film),1933,star,Edna May Oliver
Alice in Wonderland (1933 film),1933,star,Cary Grant
Alice in Wonderland (1933 film),1933,star,Gary Cooper
Alice in Wonderland (1933 film),1933,cast,Jack Oakie
Alice in Wonderland (1933 film),1933,cast,May Robson
The Sting,1973,star,Paul Newman
The Sting,1973,star,Robert Redford
The Sting,1973,star,Charles Durning
The Sting,1973,cast,Eileen Brennan
The Sting,1973,cast,Sally Kirkland
The Sting,1973,director,George Roy Hill
The Philadelphia Story (film),1940,star,Cary Grant
The Philadelphia Story (film),1940,star,Katharine Hepburn
The Philadelphia Story (film),1940,star,James Stewart
The Philadelphia Story (film),1940,star,Ruth Hussey
The Philadelphia Story (film),1940,cast,Roland Young
The Philadelphia Story (film),1940,director,George Cukor
The Ring (2002 film),2002,star,Naomi Watts
The Ring (2002 film),2002,cast,Jane Alexander
The Ring (2002 film),2002,cast,Chris Cooper
"All This, and Heaven Too",1940,star,Bette Davis
"All This, and Heaven Too",1940,star,Charles Boyer
"All This, and Heaven Too",1940,star,Barbara O'Neil
"All This, and Heaven Too",1940,director,Anatole Litvak
Foreign Correspondent (film),1940,star,George Sanders
Foreign Correspondent (film),1940,cast,Edmund Gwenn
Foreign Correspondent (film),1940,director,Alfred Hitchcock
The Great Dictator,1940,star,Paulette Goddard
The Great Dictator,1940,star,Jack Oakie
The Long Voyage Home,1940,star,John Wayne
The Long Voyage Home,1940,cast,Barry Fitzgerald
The Long Voyage Home,1940,cast,Mildred Natwick
The Long Voyage Home,1940,director,John Ford
Touch of Evil,1958,star,Charlton Heston
Touch of Evil,1958,star,Janet Leigh
Touch of Evil,1958,star,Orson Welles
Touch of Evil,1958,star,Akim Tamiroff
Touch of Evil,1958,star,Marlene Dietrich
Touch of Evil,1958,cast,Mercedes McCambridge
Touch of Evil,1958,star,Orson Welles
Apt Pupil (film),1998,star,Ian McKellen
Apt Pupil (film),1998,cast,Bruce Davison
Lenny (film),1974,star,Dustin Hoffman
Lenny (film),1974,star,Valerie Perrine
Lenny (film),1974,director,Bob Fosse
Goodfellas,1990,star,Robert De Niro
Goodfellas,1990,star,Joe Pesci
Goodfellas,1990,star,Lorraine Bracco
Goodfellas,1990,cast,Samuel L. Jackson
Goodfellas,1990,director,Martin Scorsese
A Knight's Tale,2001,cast,Heath Ledger
A Knight's Tale,2001,cast,Bérénice Bejo
Schindler's List,1993,star,Liam Neeson
Schindler's List,1993,star,Ben Kingsley
Schindler's List,1993,star,Ralph Fiennes
Schindler's List,1993,director,Steven Spielberg
The Conversation,1974,star,Gene Hackman
The Conversation,1974,star,Frederic Forrest
The Conversation,1974,cast,Harrison Ford
The Conversation,1974,cast,Teri Garr
The Conversation,1974,cast,Robert Duvall
The Conversation,1974,director,Francis Ford Coppola
Annie Hall,1977,star,Woody Allen
Annie Hall,1977,star,Diane Keaton
Annie Hall,1977,star,Carol Kane
Annie Hall,1977,star,Christopher Walken
Annie Hall,1977,star,Woody Allen
The Battle of San Pietro,1945,director,John Huston
Clue (film),1985,star,Eileen Brennan
Clue (film),1985,star,Madeline Kahn
Clue (film),1985,star,Lesley Ann Warren
Above the Law (1988 film),1988,star,Sharon Stone
Under Siege,1992,star,Tommy Lee Jones
Under Siege,1992,star,Gary Busey
On Deadly Ground,1994,star,Michael Caine
On Deadly Ground,1994,cast,Billy Bob Thornton
Executive Decision,1996,star,Halle Berry
Prince of Central Park,2000,star,Kathleen Turner
Prince of Central Park,2000,star,Danny Aiello
Prince of Central Park,2000,star,Cathy Moriarty
Prince of Central Park,2000,star,Harvey Keitel
Ticker (2001 film),2001,star,Dennis Hopper
Half Past Dead,2002,cast,Mo'Nique
Strategic Air Command (film),1955,star,James Stewart
The Caine Mutiny (film),1954,star,Humphrey Bogart
The Caine Mutiny (film),1954,star,José Ferrer
The Caine Mutiny (film),1954,cast,Tom Tully
The Caine Mutiny (film),1954,cast,Lee Marvin
The Caine Mutiny (film),1954,director,Edward Dmytryk
All That Jazz (film),1979,star,Roy Scheider
All That Jazz (film),1979,star,Jessica Lange
All That Jazz (film),1979,cast,John Lithgow
All That Jazz (film),1979,director,Bob Fosse
The African Queen (film),1951,star,Humphrey Bogart
The African Queen (film),1951,star,Katharine Hepburn
The African Queen (film),1951,star,Robert Morley
The African Queen (film),1951,cast,Theodore Bikel
The African Queen (film),1951,director,John Huston
The Bank Dick,1940,cast,Una Merkel
Chinatown (1974 film),1974,star,Jack Nicholson
Chinatown (1974 film),1974,star,Faye Dunaway
Chinatown (1974 film),1974,star,Burt Young
Chinatown (1974 film),1974,star,John Huston
Chinatown (1974 film),1974,cast,Diane Ladd
Chinatown (1974 film),1974,director,Roman Polanski
Chinatown (1974 film),1974,cast,Joe Mantell
Chinatown (1974 film),1974,director,Roman Polanski
Kiss Me Deadly,1955,cast,Cloris Leachman
All That Heaven Allows,1955,star,Jane Wyman
All That Heaven Allows,1955,star,Rock Hudson
All That Heaven Allows,1955,cast,Agnes Moorehead
America America,1963,cast,John Marley
America America,1963,director,Elia Kazan
American Graffiti,1973,star,Richard Dreyfuss
American Graffiti,1973,star,Candy Clark
American Graffiti,1973,cast,Harrison Ford
American Graffiti,1973,cast,Kathleen Quinlan
American Graffiti,1973,director,George Lucas
Badlands (film),1973,star,Sissy Spacek
Badlands (film),1973,director,Terrence Malick
Bonnie and Clyde (film),1967,star,Warren Beatty
Bonnie and Clyde (film),1967,star,Faye Dunaway
Bonnie and Clyde (film),1967,star,Michael J. Pollard
Bonnie and Clyde (film),1967,star,Gene Hackman
Bonnie and Clyde (film),1967,star,Estelle Parsons
Bonnie and Clyde (film),1967,cast,Gene Wilder
Bonnie and Clyde (film),1967,director,Arthur Penn
True Lies,1994,cast,Charlton Heston
True Lies,1994,director,James Cameron
Jurassic Park (film),1993,star,Laura Dern
Jurassic Park (film),1993,star,Richard Attenborough
Jurassic Park (film),1993,star,Samuel L. Jackson
Jurassic Park (film),1993,director,Steven Spielberg
McCabe & Mrs. Miller,1971,star,Warren Beatty
McCabe & Mrs. Miller,1971,star,Julie Christie
McCabe & Mrs. Miller,1971,director,Robert Altman
The Ladykillers,1955,star,Alec Guinness
The Ladykillers,1955,star,Peter Sellers
The Quiet Man,1952,star,John Wayne
The Quiet Man,1952,star,Barry Fitzgerald
The Quiet Man,1952,star,Victor McLaglen
The Quiet Man,1952,cast,Mildred Natwick
The Quiet Man,1952,director,John Ford
Brief Encounter,1945,star,Celia Johnson
Brief Encounter,1945,star,Trevor Howard
Brief Encounter,1945,star,Stanley Holloway
Brief Encounter,1945,director,David Lean
Guess Who's Coming to Dinner,1967,star,Spencer Tracy
Guess Who's Coming to Dinner,1967,star,Sidney Poitier
Guess Who's Coming to Dinner,1967,star,Katharine Hepburn
Guess Who's Coming to Dinner,1967,star,Beah Richards
Guess Who's Coming to Dinner,1967,cast,Cecil Kellaway
Guess Who's Coming to Dinner,1967,director,Stanley Kramer
Dune (1984 film),1984,star,Brad Dourif
Dune (1984 film),1984,star,José Ferrer
Dune (1984 film),1984,star,Linda Hunt
Dune (1984 film),1984,star,Virginia Madsen
Dune (1984 film),1984,star,Dean Stockwell
Dune (1984 film),1984,star,Max von Sydow
Dune (1984 film),1984,director,David Lynch
The Third Man,1949,star,Orson Welles
The Third Man,1949,star,Trevor Howard
The Third Man,1949,director,Carol Reed
The Third Man,1949,director,Carol Reed
Signs (film),2002,star,Mel Gibson
Signs (film),2002,star,Joaquin Phoenix
Signs (film),2002,cast,Abigail Breslin
Signs (film),2002,director,M. Night Shyamalan
Signs (film),2002,director,M. Night Shyamalan
Aladdin (1992 Disney film),1992,star,Robin Williams
The Band Wagon,1953,star,Fred Astaire
The Band Wagon,1953,cast,Ava Gardner
The Band Wagon,1953,director,Vincente Minnelli
The Big Parade,1925,director,King Vidor
Bride of Frankenstein,1935,star,Elsa Lanchester
Bride of Frankenstein,1935,cast,Walter Brennan
Broken Blossoms,1919,star,Lillian Gish
Broken Blossoms,1919,star,Richard Barthelmess
Broken Blossoms,1919,star,Donald Crisp
The Cheat (1915 film),1915,star,Sessue Hayakawa
The Cheat (1915 film),1915,director,Cecil B. DeMille
Sullivan's Travels,1941,cast,William Demarest
North by Northwest,1959,cast,Cary Grant
North by Northwest,1959,cast,Eva Marie Saint
North by Northwest,1959,cast,James Mason
North by Northwest,1959,cast,Martin Landau
North by Northwest,1959,director,Alfred Hitchcock
The Day the Earth Stood Still,1951,star,Patricia Neal
The Day the Earth Stood Still,1951,star,Sam Jaffe
The Day the Earth Stood Still,1951,cast,Stuart Whitman
The Day the Earth Stood Still,1951,director,Robert Wise
The Deer Hunter,1978,star,Robert De Niro
The Deer Hunter,1978,star,Meryl Streep
The Deer Hunter,1978,star,Christopher Walken
The Deer Hunter,1978,director,Michael Cimino
Do the Right Thing,1989,star,Danny Aiello
Do the Right Thing,1989,star,Ruby Dee
Do the Right Thing,1989,star,Spike Lee
Do the Right Thing,1989,cast,Rosie Perez
Do the Right Thing,1989,cast,Samuel L. Jackson
Do the Right Thing,1989,star,Spike Lee
Double Indemnity (film),1944,star,Barbara Stanwyck
Double Indemnity (film),1944,director,Billy Wilder
Duck Soup (1933 film),1933,star,Louis Calhern
Duck Soup (1933 film),1933,director,Leo McCarey
E.T. the Extra-Terrestrial,1982,director,Steven Spielberg
Easy Rider,1969,star,Peter Fonda
Easy Rider,1969,star,Dennis Hopper
Easy Rider,1969,star,Jack Nicholson
Easy Rider,1969,cast,Karen Black
Easy Rider,1969,star,Dennis Hopper
Five Easy Pieces,1970,star,Jack Nicholson
Five Easy Pieces,1970,star,Karen Black
Footlight Parade,1933,star,James Cagney
Footlight Parade,1933,star,Joan Blondell
Force of Evil,1948,star,John Garfield
Force of Evil,1948,star,Thomas Gomez
Fury (1936 film),1936,star,Sylvia Sidney
Fury (1936 film),1936,star,Spencer Tracy
Fury (1936 film),1936,cast,Walter Brennan
The Godfather Part II,1974,star,Al Pacino
The Godfather Part II,1974,star,Robert Duvall
The Godfather Part II,1974,star,Diane Keaton
The Godfather Part II,1974,star,Robert De Niro
The Godfather Part II,1974,star,Talia Shire
The Godfather Part II,1974,star,Lee Strasberg
The Godfather Part II,1974,cast,Michael V. Gazzo
The Godfather Part II,1974,director,Francis Ford Coppola
The Gold Rush,1925,cast,Charles Chaplin
Greed (1924 film),1924,director,Erich von Stroheim
Greed (1924 film),1924,director,Erich von Stroheim
Gun Crazy,1950,star,John Dall
The Heiress,1949,star,Olivia de Havilland
The Heiress,1949,star,Montgomery Clift
The Heiress,1949,star,Ralph Richardson
The Heiress,1949,cast,Miriam Hopkins
The Heiress,1949,director,William Wyler
High Noon,1952,star,Gary Cooper
High Noon,1952,star,Katy Jurado
High Noon,1952,star,Grace Kelly
High Noon,1952,director,Fred Zinnemann
His Girl Friday,1940,star,Cary Grant
His Girl Friday,1940,star,Rosalind Russell
His Girl Friday,1940,cast,Ralph Bellamy
His Girl Friday,1940,cast,Gene Lockhart
His Girl Friday,1940,director,Howard Hawks
The Mexican,2001,star,Julia Roberts
The Mexican,2001,star,Brad Pitt
The Mexican,2001,cast,Gene Hackman
Hoosiers (film),1986,star,Gene Hackman
Hoosiers (film),1986,star,Barbara Hershey
Hoosiers (film),1986,star,Dennis Hopper
How the West Was Won (film),1962,star,Carroll Baker
How the West Was Won (film),1962,star,Walter Brennan
How the West Was Won (film),1962,star,Lee J. Cobb
How the West Was Won (film),1962,star,Henry Fonda
How the West Was Won (film),1962,star,Carolyn Jones
How the West Was Won (film),1962,star,Karl Malden
How the West Was Won (film),1962,star,Agnes Moorehead
How the West Was Won (film),1962,star,Gregory Peck
How the West Was Won (film),1962,star,Debbie Reynolds
How the West Was Won (film),1962,star,Thelma Ritter
How the West Was Won (film),1962,star,James Stewart
How the West Was Won (film),1962,star,John Wayne
How the West Was Won (film),1962,star,Richard Widmark
How the West Was Won (film),1962,cast,Spencer Tracy
How the West Was Won (film),1962,cast,Russ Tamblyn
How the West Was Won (film),1962,cast,Raymond Massey
How the West Was Won (film),1962,director,John Ford
How the West Was Won (film),1962,director,Henry Hathaway
The Immigrant (1917 film),1917,star,Charles Chaplin
The Immigrant (1917 film),1917,star,Charles Chaplin
Invasion of the Body Snatchers,1956,star,Carolyn Jones
Brazil (1985 film),1985,star,Jonathan Pryce
Brazil (1985 film),1985,star,Robert De Niro
Brazil (1985 film),1985,star,Ian Holm
Brazil (1985 film),1985,star,Bob Hoskins
Brazil (1985 film),1985,cast,Jim Broadbent
Rear Window,1954,star,James Stewart
Rear Window,1954,star,Grace Kelly
Rear Window,1954,star,Thelma Ritter
Rear Window,1954,director,Alfred Hitchcock
Jaws (film),1975,star,Roy Scheider
Jaws (film),1975,star,Richard Dreyfuss
Jaws (film),1975,cast,Robert Shaw
Jaws (film),1975,director,Steven Spielberg
"Knute Rockne, All American",1940,cast,Donald Crisp
The Lady Eve,1941,star,Barbara Stanwyck
The Lady Eve,1941,star,Henry Fonda
The Lady Eve,1941,cast,Charles Coburn
The Lady Eve,1941,cast,William Demarest
Lassie Come Home,1943,star,Donald Crisp
Lassie Come Home,1943,star,Dame May Whitty
Lassie Come Home,1943,star,Edmund Gwenn
Lassie Come Home,1943,star,Elsa Lanchester
Lassie Come Home,1943,star,Elizabeth Taylor
The Last of the Mohicans (1920 American film),1920,star,Wallace Beery
The Last of the Mohicans (1920 American film),1920,director,Clarence Brown
The Last Picture Show,1971,star,Jeff Bridges
The Last Picture Show,1971,star,Ellen Burstyn
The Last Picture Show,1971,star,Cloris Leachman
